ICAO,Latitude,Longitude,Name
FAGG,"34° 0' 20.16"" S","22° 22' 44.04"" E",George Airport (South Africa)
FAGI,"23° 16' 59.88"" S","30° 38' 60.00"" E",Giyani Airport (South Africa)
FAGM,"26° 14' 33.00"" S","28° 9' 4.32"" E",Rand Airport (South Africa)
FAH,"32° 22' 1.20"" N","62° 10' 58.80"" E",Farah Airport (Afghanistan)
FAHL,"28° 0' 29.88"" S","32° 16' 30.01"" E",Hluhluwe Airport (South Africa)
FAHR,"28° 14' 6.36"" S","29° 6' 22.32"" E",Harrismith Airport (South Africa)
FAHS,"24° 22' 6.96"" S","31° 2' 55.32"" E",Hoedspruit Air Force Base Airport (South Africa)
FAI,"64° 48' 54.37"" N","147° 51' 21.61"" W",Fairbanks International Airport (United States)
FAJ,"18° 18' 32.04"" N","65° 39' 42.85"" W",Diego Jimenez Torres Airport (Puerto Rico)
FAKD,"26° 52' 15.96"" S","26° 43' 4.80"" E",P C Pelser Airport (South Africa)
FAKM,"28° 48' 10.08"" S","24° 45' 54.72"" E",Kimberley Airport (South Africa)
FAKN,"25° 22' 59.52"" S","31° 6' 20.16"" E",Kruger Mpumalanga International Airport (South Africa)
FAKP,"25° 26' 25.08"" S","31° 55' 48.00"" E",Komatipoort Airport (South Africa)
FAKU,"27° 27' 24.12"" S","23° 24' 41.04"" E",Johan Pienaar Airport (South Africa)
FAKZ,"29° 41' 18.24"" S","17° 5' 38.40"" E",Kleinsee Airport (South Africa)
FALA,"25° 56' 18.60"" S","27° 55' 33.96"" E",Lanseria Airport (South Africa)
FALC,"28° 21' 36.36"" S","23° 26' 20.76"" E",Lime Acres Finsch Mine Airport (South Africa)
FALD,"24° 45' 0.72"" S","31° 28' 32.52"" E",Londolozi Airport (South Africa)
FALE,"29° 36' 52.00"" S","31° 7' 11.00"" E",King Shaka International Airport (South Africa)
FALK,"31° 22' 0.12"" S","29° 34' 59.88"" E",Lusikisiki Airport (South Africa)
FALO,"23° 3' 42.84"" S","29° 51' 52.92"" E",Louis Trichardt Airport (South Africa)
FALW,"32° 58' 8.04"" S","18° 9' 37.08"" E",Langebaanweg Airport (South Africa)
FALY,"28° 34' 54.12"" S","29° 44' 58.92"" E",Ladysmith Airport (South Africa)
FAM,"37° 45' 39.88"" N","90° 25' 42.95"" W",Farmington Regional Airport (United States)
FAMD,"24° 49' 5.16"" S","31° 32' 40.56"" E",Mala Mala Airport (South Africa)
FAMG,"30° 51' 26.64"" S","30° 20' 34.80"" E",Margate Airport (South Africa)
FAMM,"25° 47' 54.24"" S","25° 32' 52.80"" E",Mmabatho International Airport (South Africa)
FAMN,"25° 25' 48.00"" S","31° 34' 36.12"" E",Riverside Airport (South Africa)
FAMO,"34° 9' 29.87"" S","22° 3' 30.96"" E",Mossel Bay Airport (South Africa)
FAMS,"25° 42' 16.20"" S","26° 54' 32.40"" E",Morningside Farm Airport (South Africa)
FAMU,"27° 37' 33.96"" S","32° 2' 39.48"" E",Mkuze Airport (South Africa)
FAN,"58° 5' 58.20"" N","6° 37' 33.78"" E",Lista Airport (Norway)
FANC,"27° 46' 14.16"" S","29° 58' 36.84"" E",Newcastle Airport (South Africa)
FANG,"24° 23' 16.08"" S","31° 19' 32.88"" E",Ngala Airport (South Africa)
FANS,"25° 30' 0.00"" S","30° 54' 49.68"" E",Nelspruit Airport (South Africa)
FAO,"37° 0' 51.84"" N","7° 57' 57.28"" W",Faro Airport (Portugal) (Portugal)
FAOB,"34° 33' 17.64"" S","20° 15' 2.52"" E",Overberg Airport (South Africa)
FAOH,"33° 36' 25.19"" S","22° 11' 20.40"" E",Oudtshoorn Airport (South Africa)
FAOR,"26° 8' 21.12"" S","28° 14' 45.60"" E",OR Tambo International Airport (South Africa)
FAPA,"33° 33' 15.12"" S","26° 52' 39.72"" E",Port Alfred Airport (South Africa)
FAPE,"33° 59' 5.65"" S","25° 37' 2.28"" E",Port Elizabeth Airport (South Africa)
FAPG,"34° 5' 25.09"" S","23° 19' 40.08"" E",Plettenberg Bay Airport (South Africa)
FAPH,"23° 56' 13.92"" S","31° 9' 19.44"" E",Hendrik Van Eck Airport (South Africa)
FAPI,"23° 55' 33.96"" S","29° 29' 3.84"" E",Pietersburg Municipal Airport (South Africa)
FAPJ,"31° 36' 21.24"" S","29° 31' 11.28"" E",Port St Johns Airport (South Africa)
FAPK,"29° 41' 0.96"" S","22° 46' 14.16"" E",Prieska Airport (South Africa)
FAPM,"29° 38' 56.40"" S","30° 23' 55.32"" E",Pietermaritzburg Airport (South Africa)
FAPN,"25° 20' 1.68"" S","27° 10' 24.24"" E",Pilanesberg International Airport (South Africa)
FAPP,"23° 50' 43.08"" S","29° 27' 30.96"" E",Polokwane International Airport (South Africa)
FAPS,"26° 40' 15.60"" S","27° 4' 54.84"" E",Potchefstroom Airport (South Africa)
FAQ,"14° 13' 1.92"" S","169° 25' 30.01"" W",Fitiuta Airport (United States)
FAQT,"31° 55' 12.72"" S","26° 52' 55.92"" E",Queenstown Airport (South Africa)
FAR,"46° 55' 14.34"" N","96° 48' 56.75"" W",Hector International Airport (United States)
FARB,"28° 44' 27.60"" S","32° 5' 31.55"" E",Richards Bay Airport (South Africa)
FARI,"27° 32' 49.92"" S","24° 10' 21.00"" E",Reivilo Airport (South Africa)
FARS,"33° 48' 43.92"" S","19° 54' 10.08"" E",Robertson Airport (South Africa)
FAS,"64° 55' 54.13"" N","14° 3' 38.16"" W",Fáskrúðsfjörður Airport (Iceland)
FASB,"29° 41' 21.48"" S","17° 56' 22.56"" E",Springbok Airport (South Africa)
FASC,"26° 31' 26.76"" S","29° 10' 12.36"" E",Secunda Airport (South Africa)
FASD,"32° 57' 50.76"" S","17° 58' 9.48"" E",Saldanha /Vredenburg Airport (South Africa)
FASE,"24° 56' 29.40"" S","31° 26' 40.56"" E",Sabi Sabi Airport (South Africa)
FASS,"27° 38' 54.96"" S","22° 59' 57.48"" E",Sishen Airport (South Africa)
FASZ,"24° 57' 39.24"" S","31° 35' 19.32"" E",Skukuza Airport (South Africa)
FAT,"36° 46' 34.30"" N","119° 43' 5.30"" W",Fresno Yosemite International Airport (United States)
FATH,"23° 4' 36.84"" S","30° 23' 0.96"" E",Thohoyandou Airport (South Africa)
FATN,"29° 19' 4.08"" S","26° 49' 22.08"" E",Thaba Nchu Tar Airport (South Africa)
FATZ,"23° 49' 27.84"" S","30° 19' 45.48"" E",Tzaneen Airport (South Africa)
FAUL,"28° 19' 14.16"" S","31° 24' 59.40"" E",Prince Mangosuthu Buthelezi Airport (South Africa)
FAUP,"28° 23' 56.76"" S","21° 15' 36.72"" E",Upington Airport (South Africa)
FAUT,"31° 32' 52.44"" S","28° 40' 27.48"" E",K. D. Matanzima Airport (South Africa)
FAV,"16° 3' 14.76"" S","145° 39' 25.19"" W",Fakarava Airport (French Polynesia)
FAVB,"26° 58' 56.64"" S","24° 43' 43.68"" E",Vryburg Airport (South Africa)
FAVG,"29° 46' 14.16"" S","31° 3' 30.24"" E",Virginia Airport (South Africa)
FAVR,"31° 38' 27.60"" S","18° 32' 41.28"" E",Vredendal Airport (South Africa)
FAVY,"27° 47' 12.84"" S","30° 47' 47.04"" E",Vryheid Airport (South Africa)
FAWB,"25° 39' 14.04"" S","28° 13' 27.12"" E",Wonderboom Airport (South Africa)
FAWK,"25° 49' 48.00"" S","28° 13' 21.00"" E",Waterkloof Air Force Base Airport (South Africa)
FAWM,"27° 59' 52.80"" S","26° 40' 10.56"" E",Welkom Airport (South Africa)
FAY,"34° 59' 28.38"" N","78° 52' 48.98"" W",Fayetteville Regional Airport (Grannis Field) (United States)
FAZ,"28° 53' 30.48"" N","53° 43' 23.88"" E","Fasa Airport (Iran, Islamic Republic of)"
FBD,"37° 7' 15.96"" N","70° 31' 5.15"" E",Fayzabad Airport (Afghanistan)
FBE,"26° 3' 33.12"" S","53° 3' 48.60"" W",Francisco Beltrão Airport (Brazil)
FBFT,"21° 9' 34.56"" S","27° 28' 28.20"" E",Francistown Airport (Botswana)
FBG,"35° 7' 54.58"" N","78° 56' 12.10"" W",Simmons AAF (United States)
FBGZ,"21° 41' 33.00"" S","21° 39' 29.16"" E",Ghanzi Airport (Botswana)
FBJW,"24° 36' 8.28"" S","24° 41' 27.60"" E",Jwaneng Airport (Botswana)
FBK,"64° 50' 15.01"" N","147° 36' 50.39"" W",Wainwright AAF (United States)
FBKE,"17° 49' 58.44"" S","25° 9' 44.64"" E",Kasane Airport (Botswana)
FBKR,"19° 8' 60.00"" S","23° 46' 58.80"" E",Khwai River Lodge Airport (Botswana)
FBL,"44° 19' 39.16"" N","93° 18' 38.40"" W",Faribault Municipal Airport (United States)
FBM,"11° 35' 28.68"" S","27° 31' 51.24"" E","Lubumbashi International Airport (Congo, the Democratic Republic of the (Zaire))"
FBMN,"19° 58' 21.36"" S","23° 25' 51.96"" E",Maun Airport (Botswana)
FBOR,"21° 16' 0.12"" S","25° 19' 0.12"" E",Orapa Airport (Botswana)
FBPY,"22° 34' 1.20"" S","27° 8' 60.00"" E",Palapye Airport (Botswana)
FBR,"41° 23' 30.97"" N","110° 24' 24.47"" W",Fort Bridger Airport (United States)
FBSK,"24° 33' 18.72"" S","25° 55' 5.52"" E",Sir Seretse Khama International Airport (Botswana)
FBSN,"20° 33' 12.24"" S","26° 6' 56.88"" E",Sua Pan Airport (Botswana)
FBSP,"22° 3' 29.88"" S","27° 49' 43.68"" E",Selebi Phikwe Airport (Botswana)
FBSW,"18° 22' 26.04"" S","21° 49' 57.36"" E",Shakawe Airport (Botswana)
FBTL,"22° 11' 21.12"" S","29° 7' 36.84"" E",Limpopo Valley Airport (Botswana)
FBTS,"26° 1' 59.88"" S","22° 23' 60.00"" E",Tshabong Airport (Botswana)
FBY,"40° 10' 58.70"" N","97° 10' 9.40"" W",Fairbury Municipal Airport (United States)
FCA,"48° 18' 37.70"" N","114° 15' 21.60"" W",Glacier Park International Airport (United States)
FCB,"28° 49' 23.16"" S","27° 54' 32.04"" E",Ficksburg Sentraoes Airport (South Africa)
FCBB,"4° 15' 6.12"" S","15° 15' 10.80"" E",Maya Maya Airport (Congo)
FCBD,"2° 31' 58.80"" S","14° 45' 0.00"" E",Djambala Airport (Congo)
FCBK,"3° 57' 0.00"" S","14° 31' 1.20"" E",Kindamba Airport (Congo)
FCBL,"2° 27' 0.00"" S","14° 31' 58.80"" E",Lague Airport (Congo)
FCBM,"4° 0' 53.55"" S","13° 57' 58.00"" E",Mouyondzi Airport (Congo)
FCBS,"3° 40' 58.80"" S","13° 21' 0.00"" E",Sibiti Airport (Congo)
FCBY,"4° 13' 1.20"" S","13° 16' 58.80"" E",Yokangassi Airport (Congo)
FCBZ,"2° 50' 60.00"" S","13° 49' 1.20"" E",Zanaga Airport (Congo)
FCH,"36° 43' 55.63"" N","119° 49' 13.20"" W",Fresno Chandler Executive Airport (United States)
FCI,"37° 24' 23.20"" N","77° 31' 29.40"" W",Chesterfield County Airport (United States)
FCM,"44° 49' 38.07"" N","93° 27' 25.73"" W",Flying Cloud Airport (United States)
FCMM,"2° 57' 0.00"" S","12° 41' 60.00"" E",Mossendjo Airport (Congo)
FCO,"41° 48' 16.20"" N","12° 15' 2.88"" E",Leonardo Da Vinci International Airport (Italy)
FCOB,"1° 1' 58.80"" S","15° 22' 58.80"" E",Boundji Airport (Congo)
FCOE,"0° 52' 58.80"" S","14° 48' 0.00"" E",Ewo Airport (Congo)
FCOG,"1° 52' 1.20"" S","15° 52' 1.20"" E",Gamboma Airport (Congo)
FCOI,"1° 37' 1.20"" N","18° 4' 1.20"" E",Impfondo Airport (Congo)
FCOK,"0° 4' 58.80"" S","14° 31' 58.80"" E",Kelle Airport (Congo)
FCOM,"0° 1' 1.20"" S","15° 34' 58.80"" E",Makoua Airport (Congo)
FCOO,"0° 31' 52.86"" S","15° 57' 0.36"" E",Owando Airport (Congo)
FCOS,"2° 4' 1.20"" N","14° 7' 58.80"" E",Souanke Airport (Congo)
FCOT,"3° 2' 60.00"" N","18° 30' 0.00"" E",Betou Airport (Congo)
FCOU,"1° 36' 57.56"" N","16° 2' 16.44"" E",Ouesso Airport (Congo)
FCPA,"3° 28' 58.80"" S","12° 37' 1.20"" E",Makabana Airport (Congo)
FCPL,"4° 12' 22.86"" S","12° 39' 35.64"" E",Loubomo Airport (Congo)
FCPP,"4° 48' 57.71"" S","11° 53' 11.76"" E",Pointe Noire Airport (Congo)
FCS,"38° 40' 42.20"" N","104° 45' 23.66"" W",Butts AAF (Fort Carson) (United States)
FCT,"46° 39' 59.46"" N","120° 27' 14.23"" W",Vagabond AAF (United States)
FCY,"34° 56' 31.19"" N","90° 46' 29.88"" W",Forrest City Municipal Airport (United States)
FDA,"10° 31' 59.88"" N","74° 12' 0.00"" W",Fundación Airport (Colombia)
FDE,"61° 23' 27.97"" N","5° 45' 24.98"" E","Førde Airport, Bringeland (Norway)"
FDF,"14° 35' 27.60"" N","61° 0' 11.52"" W",Lamentin International Airport (Martinique)
FDH,"47° 40' 16.68"" N","9° 30' 41.36"" E",Friedrichshafen International Airport (Germany)
FDK,"39° 25' 3.30"" N","77° 22' 27.50"" W",Frederick Municipal Airport (Maryland) (United States)
FDMS,"26° 31' 44.40"" S","31° 18' 27.00"" E",Matsapha Airport (Swaziland)
FDO,"34° 27' 11.52"" S","58° 35' 22.56"" W",San Fernando Airport (Argentina)
FDR,"34° 21' 7.55"" N","98° 59' 2.07"" W",Frederick Municipal Airport (Oklahoma) (United States)
FDU,"3° 18' 40.75"" S","17° 22' 54.12"" E","Bandundu Airport (Congo, the Democratic Republic of the (Zaire))"
FDW,"34° 18' 55.70"" N","81° 6' 31.70"" W",Fairfield County Airport (United States)
FDY,"41° 0' 43.30"" N","83° 40' 7.00"" W",Findlay Airport (United States)
FEB,"29° 13' 58.80"" N","81° 13' 1.21"" E",Sanfebagar Airport (Nepal)
FEC,"12° 12' 1.08"" S","38° 54' 24.48"" W",João Durval Carneiro Airport (Brazil)
FEFC,"4° 56' 13.20"" N","15° 53' 38.40"" E",Carnot Airport (Central African Republic)
FEFF,"4° 23' 54.53"" N","18° 31' 7.68"" E",Bangui M'Poko International Airport (Central African Republic)
FEFG,"4° 47' 6.00"" N","22° 46' 51.60"" E",Bangassou Airport (Central African Republic)
FEFI,"10° 14' 11.04"" N","22° 43' 0.84"" E",Birao Airport (Central African Republic)
FEFL,"5° 16' 1.20"" N","17° 37' 58.80"" E",Bossembélé Airport (Central African Republic)
FEFM,"5° 50' 48.98"" N","20° 38' 51.00"" E",Bambari Airport (Central African Republic)
FEFN,"8° 25' 37.94"" N","20° 38' 6.56"" E",N'Délé Airport (Central African Republic)
FEFO,"5° 57' 28.80"" N","15° 38' 13.20"" E",Bouar Airport (Central African Republic)
FEFR,"6° 31' 40.01"" N","21° 59' 21.84"" E",Bria Airport (Central African Republic)
FEFS,"6° 29' 31.20"" N","17° 25' 44.40"" E",Bossangoa Airport (Central African Republic)
FEFT,"4° 13' 17.69"" N","15° 47' 11.04"" E",Berbérati Airport (Central African Republic)
FEFW,"8° 0' 38.02"" N","22° 23' 54.96"" E",Ouadda Airport (Central African Republic)
FEFY,"6° 31' 12.00"" N","23° 15' 36.00"" E",Yalinga Airport (Central African Republic)
FEFZ,"5° 3' 0.00"" N","25° 8' 60.00"" E",Zemio Airport (Central African Republic)
FEG,"40° 21' 31.68"" N","71° 44' 42.01"" E",Fergana Airport (Uzbekistan)
FEGE,"5° 19' 58.84"" N","25° 55' 54.84"" E",M'Boki Airport (Central African Republic)
FEGF,"7° 18' 50.80"" N","18° 18' 31.68"" E",Batangafo Airport (Central African Republic)
FEGL,"9° 34' 58.80"" N","21° 43' 58.80"" E",Gordil Airport (Central African Republic)
FEGM,"5° 41' 38.40"" N","22° 48' 3.60"" E",Bakouma Airport (Central African Republic)
FEGO,"8° 53' 60.00"" N","22° 46' 58.80"" E",Ouanda Djallé Airport (Central African Republic)
FEGR,"4° 59' 19.00"" N","23° 55' 40.08"" E",Rafaï Airport (Central African Republic)
FEGU,"6° 31' 1.20"" N","18° 16' 1.20"" E",Bouca Airport (Central African Republic)
FEGZ,"6° 20' 39.01"" N","16° 19' 18.84"" E",Bozoum Airport (Central African Republic)
FEJ,"8° 9' 56.09"" S","70° 21' 10.79"" W",Feijó Airport (Brazil)
FEK,"9° 36' 0.00"" N","5° 11' 60.00"" W",Ferkessedougou Airport (COTE D'IVOIRE)
FEL,"48° 12' 20.00"" N","11° 16' 1.00"" E",Fürstenfeldbruck Airport (Germany)
FEN,"3° 51' 17.75"" S","32° 25' 23.89"" W",Fernando de Noronha Airport (Brazil)
FEP,"42° 14' 46.17"" N","89° 34' 55.15"" W",Albertus Airport (United States)
FES,"38° 11' 41.79"" N","90° 23' 7.53"" W",Festus Memorial Airport (United States)
FET,"41° 26' 56.91"" N","96° 31' 12.79"" W",Fremont Municipal Airport (United States)
FEZ,"33° 55' 38.28"" N","4° 58' 40.66"" W",Saïss Airport (Morocco)
FFA,"36° 1' 5.60"" N","75° 40' 16.63"" W",First Flight Airport (United States)
FFC,"33° 21' 26.10"" N","84° 34' 18.60"" W",Falcon Field (United States)
FFD,"51° 40' 55.92"" N","1° 47' 24.11"" W",RAF Fairford (United Kingdom)
FFL,"41° 3' 21.20"" N","91° 58' 51.13"" W",Fairfield Municipal Airport (United States)
FFM,"46° 17' 3.80"" N","96° 9' 24.10"" W",Fergus Falls Municipal Airport (Einar Mickelson Field) (United States)
FFO,"39° 49' 34.00"" N","84° 2' 54.00"" W",Wright-Patterson AFB (United States)
FFT,"38° 10' 55.12"" N","84° 54' 22.03"" W",Capital City Airport (United States)
FFU,"43° 11' 21.12"" S","71° 51' 3.95"" W",Futaleufú Airport (Chile)
FFZ,"33° 27' 39.00"" N","111° 43' 42.00"" W",Falcon Field (United States)
FGD,"22° 40' 1.20"" N","12° 43' 58.80"" W",Fderik Airport (Mauritania)
FGI,"13° 50' 55.32"" S","171° 44' 24.02"" W",Fagali'i Airport (Samoa)
FGU,"15° 49' 11.64"" S","140° 53' 13.18"" W",Fangatau Airport (French Polynesia)
FGX,"38° 32' 30.50"" N","83° 44' 36.20"" W",Fleming-Mason Airport (United States)
FHAW,"7° 58' 10.56"" S","14° 23' 37.32"" W",Wideawake Field (Saint Helena)
FHB,"30° 36' 42.52"" N","81° 27' 40.27"" W",Fernandina Beach Muni Airport (United States)
FHR,"48° 31' 19.10"" N","123° 1' 27.70"" W",Friday Harbor Airport (United States)
FHU,"31° 35' 18.50"" N","110° 20' 39.80"" W",Sierra Vista Municipal Airport / Libby Army Airfield (United States)
FHZ,"15° 59' 31.92"" S","140° 9' 53.98"" W",Fakahina Airport (French Polynesia)
FID,"41° 15' 4.68"" N","72° 1' 53.76"" W",Elizabeth Field (United States)
FIE,"59° 32' 8.88"" N","1° 37' 41.02"" W",Fair Isle Airport (United Kingdom)
FIG,"10° 21' 2.16"" N","13° 34' 9.12"" W",Fria Airport (Guinea)
FIH,"4° 23' 8.70"" S","15° 26' 40.56"" E","Kinshasa International Airport (N'Djili International Airpor (Congo, the Democratic Republic of the (Zaire))"
FIK,"25° 35' 40.92"" S","134° 34' 58.77"" E",Finke Airport (Australia)
FIL,"38° 57' 29.89"" N","112° 21' 46.80"" W",Fillmore Municipal Airport (United States)
FIMP,"20° 25' 48.72"" S","57° 41' 0.96"" E",Sir Seewoosagur Ramgoolam International Airport (Mauritius)
FIMR,"19° 45' 27.72"" S","63° 21' 39.60"" E",Plaine Corail Airport (Mauritius)
FIZ,"18° 10' 54.84"" S","125° 33' 32.39"" E",Fitzroy Crossing Airport (Australia)
FJDG,"7° 18' 47.77"" S","72° 24' 39.97"" E",Diego Garcia Naval Support Facility (British Indian Ocean Territory)
FJR,"25° 6' 43.92"" N","56° 19' 26.40"" E",Fujairah International Airport (United Arab Emirates)
FKA,"43° 40' 36.34"" N","92° 10' 47.04"" W",Fillmore County Airport (United States)
FKAN,"4° 56' 60.00"" N","9° 55' 58.80"" E",Nkongsamba Airport (Cameroon)
FKB,"48° 46' 45.84"" N","8° 4' 49.80"" E",Baden Airpark (Germany)
FKI,"0° 28' 53.90"" N","25° 20' 16.80"" E","Bangoka International Airport (Congo, the Democratic Republic of the (Zaire))"
FKJ,"36° 8' 34.25"" N","136° 13' 26.12"" E",Fukui Airport (Japan)
FKKB,"2° 52' 26.00"" N","9° 58' 40.01"" E",Kribi Airport (Cameroon)
FKKC,"4° 5' 21.08"" N","9° 21' 37.91"" E",Tiko Airport (Cameroon)
FKKD,"4° 0' 21.89"" N","9° 43' 10.13"" E",Douala Airport (Cameroon)
FKKF,"5° 42' 15.01"" N","9° 18' 23.00"" E",Mamfe Airport (Cameroon)
FKKH,"10° 5' 33.00"" N","14° 26' 44.16"" E",Kaélé Airport (Cameroon)
FKKI,"4° 28' 30.00"" N","14° 21' 45.00"" E",Batouri Airport (Cameroon)
FKKJ,"10° 21' 21.96"" N","15° 14' 13.92"" E",Yagoua Airport (Cameroon)
FKKL,"10° 27' 5.04"" N","14° 15' 26.64"" E",Salak Airport (Cameroon)
FKKM,"5° 38' 12.91"" N","10° 45' 2.88"" E",Foumban Nkounja Airport (Cameroon)
FKKN,"7° 21' 25.24"" N","13° 33' 33.12"" E",N'Gaoundéré Airport (Cameroon)
FKKO,"4° 32' 55.00"" N","13° 43' 33.96"" E",Bertoua Airport (Cameroon)
FKKR,"9° 20' 9.20"" N","13° 22' 12.36"" E",Garoua International Airport (Cameroon)
FKKS,"5° 26' 60.00"" N","10° 4' 1.20"" E",Dschang Airport (Cameroon)
FKKU,"5° 32' 12.91"" N","10° 21' 16.56"" E",Bafoussem Airport (Cameroon)
FKKV,"6° 2' 21.26"" N","10° 7' 21.36"" E",Bamenda Airport (Cameroon)
FKKW,"2° 52' 33.60"" N","11° 11' 6.00"" E",Ebolowa Airport (Cameroon)
FKKY,"3° 50' 9.74"" N","11° 31' 24.60"" E",Yaoundé Airport (Cameroon)
FKL,"41° 22' 40.35"" N","79° 51' 37.30"" W",Venango Regional Airport (United States)
FKN,"36° 41' 53.11"" N","76° 54' 13.69"" W",Franklin Municipal Airport (John Beverly Rose Field) (United States)
FKQ,"2° 55' 12.68"" S","132° 16' 1.19"" E",Fakfak Airport (Indonesia)
FKR,"40° 16' 24.35"" N","86° 33' 43.81"" W",Frankfort Municipal Airport (United States)
FKS,"37° 13' 38.65"" N","140° 25' 51.60"" E",Fukushima Airport (Japan)
FKYS,"3° 43' 21.22"" N","11° 33' 11.88"" E",Yaoundé Nsimalen International Airport (Cameroon)
FLA,"1° 35' 21.08"" N","75° 33' 51.84"" W",Gustavo Artunduaga Paredes Airport (Colombia)
FLB,"6° 50' 47.00"" S","43° 4' 38.28"" W",Cangapara Airport (Brazil)
FLBA,"8° 51' 33.01"" S","31° 20' 11.04"" E",Mbala Airport (Zambia)
FLCP,"13° 33' 29.88"" S","32° 35' 13.92"" E",Chipata Airport (Zambia)
FLD,"43° 46' 16.20"" N","88° 29' 18.30"" W",Fond du Lac County Airport (United States)
FLF,"54° 46' 24.00"" N","9° 22' 44.00"" E",Flensburg-Schäferhaus Airport (Germany)
FLG,"35° 8' 18.43"" N","111° 40' 16.39"" W",Flagstaff Pulliam Airport (United States)
FLI,"66° 0' 51.05"" N","23° 26' 30.09"" W",Holt Airport (Iceland)
FLKE,"12° 34' 22.08"" S","27° 53' 38.04"" E",Kasompe Airport (Zambia)
FLKL,"14° 59' 53.88"" S","22° 38' 43.44"" E",Kalabo Airport (Zambia)
FLKO,"14° 48' 0.00"" S","24° 46' 58.80"" E",Kaoma Airport (Zambia)
FLKS,"10° 13' 0.12"" S","31° 7' 59.88"" E",Kasama Airport (Zambia)
FLKY,"8° 31' 30.00"" S","30° 39' 46.80"" E",Kasaba Bay Airport (Zambia)
FLL,"26° 4' 21.30"" N","80° 9' 9.90"" W",Fort Lauderdale-Hollywood International Airport (United States)
FLLI,"17° 49' 18.48"" S","25° 49' 21.72"" E",Livingstone Airport (Zambia)
FLLK,"14° 22' 29.28"" S","23° 14' 58.20"" E",Lukulu Airport (Zambia)
FLLS,"15° 19' 50.88"" S","28° 27' 9.36"" E",Lusaka International Airport (Zambia)
FLM,"22° 21' 36.00"" S","60° 2' 60.00"" W",Fernheim Airport (Paraguay)
FLMA,"11° 8' 13.20"" S","28° 52' 21.36"" E",Mansa Airport (Zambia)
FLMF,"13° 15' 32.04"" S","31° 56' 11.76"" E",Mfuwe Airport (Zambia)
FLMG,"15° 15' 16.20"" S","23° 9' 44.28"" E",Mongu Airport (Zambia)
FLN,"27° 40' 13.00"" S","48° 33' 9.01"" W",Hercílio Luz International Airport (Brazil)
FLNA,"15° 57' 56.88"" S","25° 55' 59.88"" E",Ngoma Airport (Zambia)
FLND,"12° 59' 53.16"" S","28° 39' 53.64"" E",Ndola Airport (Zambia)
FLO,"34° 11' 7.30"" N","79° 43' 26.00"" W",Florence Regional Airport (United States)
FLP,"36° 17' 27.22"" N","92° 35' 24.91"" W",Marion County Regional Airport (United States)
FLR,"43° 48' 36.00"" N","11° 12' 18.36"" E",Peretola Airport (Italy)
FLS,"40° 5' 30.13"" S","147° 59' 34.79"" E",Flinders Island Airport (Australia)
FLSN,"16° 6' 0.00"" S","23° 16' 1.20"" E",Senanga Airport (Zambia)
FLSO,"12° 54' 1.80"" S","28° 8' 59.64"" E",Southdowns Airport (Zambia)
FLSS,"17° 28' 34.68"" S","24° 18' 16.92"" E",Sesheke Airport (Zambia)
FLSW,"12° 10' 25.32"" S","26° 21' 54.36"" E",Solwesi Airport (Zambia)
FLV,"39° 22' 6.00"" N","94° 54' 52.87"" W",Sherman AAF (United States)
FLW,"39° 27' 19.08"" N","31° 7' 53.04"" W",Flores Airport (Portugal)
FLX,"39° 29' 56.70"" N","118° 44' 55.50"" W",Fallon Municipal Airport (United States)
FLY,"35° 40' 0.11"" S","145° 33' 0.01"" E",Finley Airport (Australia)
FLZB,"13° 32' 9.96"" S","23° 6' 30.60"" E",Zambezi Airport (Zambia)
FMA,"26° 12' 45.72"" S","58° 13' 41.16"" W",Formosa International Airport (Argentina)
FMC,"65° 55' 37.21"" N","149° 50' 23.99"" W",Five Mile Airport (United States)
FMCH,"11° 32' 1.32"" S","43° 16' 18.84"" E",Prince Said Ibrahim International Airport (Comoros)
FMCI,"12° 17' 53.16"" S","43° 45' 59.04"" E",Mohéli Bandar Es Eslam Airport (Comoros)
FMCN,"11° 42' 38.88"" S","43° 14' 38.04"" E",Iconi Airport (Comoros)
FMCV,"12° 7' 54.12"" S","44° 25' 49.09"" E",Ouani Airport (Comoros)
FMCZ,"12° 48' 16.92"" S","45° 16' 51.96"" E",Dzaoudzi Pamandzi International Airport (Mayotte)
FME,"39° 5' 7.39"" N","76° 45' 33.89"" W",Tipton Airport (Fort Meade) (United States)
FMEE,"20° 53' 13.56"" S","55° 30' 37.08"" E",Roland Garros Airport (Réunion)
FMEP,"21° 19' 15.24"" S","55° 25' 30.00"" E",Pierrefonds Airport (Réunion)
FMG,"10° 25' 6.96"" N","85° 46' 57.72"" W",Flamingo Airport (Costa Rica)
FMH,"41° 39' 30.60"" N","70° 31' 17.40"" W",Otis ANGB (United States)
FMI,"5° 52' 32.02"" S","29° 15' 0.00"" E","Kalemie Airport (Congo, the Democratic Republic of the (Zaire))"
FMM,"47° 59' 19.68"" N","10° 14' 22.20"" E",Allgäu Airport (Germany)
FMMC,"20° 21' 19.41"" S","45° 32' 36.14"" E",Malaimbandy Airport (Madagascar)
FMME,"19° 50' 21.20"" S","47° 3' 49.37"" E",Antsirabe Airport (Madagascar)
FMMG,"18° 42' 4.58"" S","44° 36' 53.71"" E",Antsalova Airport (Madagascar)
FMMH,"19° 49' 58.80"" S","48° 47' 60.00"" E",Mahanoro Airport (Madagascar)
